RegionID,SizeRank,RegionName,STATE,RegionType,StateName,3/31/2018,3/31/2019,3/31/2020,3/31/2021,3/31/2022,3/31/2023
395190,400,Victoria, TX,msa,TX,242505,253085,265232,284559,325603,335241
395038,401,Rome, GA,msa,GA,197152,215455,231345,259094,308771,318893
395086,402,Sevierville, TN,msa,TN,301025,326325,370372,456932,650251,670681
394882,403,Moses Lake, WA,msa,WA,310772,336887,357816,419187,512477,517004
394340,404,Ashtabula, OH,msa,OH,168246,175164,183097,212924,239463,249864
394441,405,Cape Girardeau, MO,msa,MO,238226,245222,250996,288143,331160,337491
394311,406,Albertville, AL,msa,AL,215785,225513,240798,273209,327689,345466
394580,407,Fairbanks, AK,msa,AK,332654,342200,360796,370693,391187,394810
394410,408,Brainerd, MN,msa,MN,313348,327178,342315,392906,467331,486222
394513,409,Cumberland, MD,msa,MD,162424,169529,176344,196411,219411,228033
394928,410,Ocean City, NJ,msa,NJ,742147,793253,835543,987744,1290308,1303824
394505,411,Corvallis, OR,msa,OR,482895,505336,527478,579807,674125,679420
394988,412,Pocatello, ID,msa,ID,278376,303511,331793,389022,464074,456458
394501,413,Corning, NY,msa,NY,178811,183138,189977,210744,233246,246473
394911,414,New Philadelphia, OH,msa,OH,203447,215203,229718,258652,287776,296165
395140,415,Sunbury, PA,msa,PA,165084,171285,184479,198917,213538,221039
395175,416,Ukiah, CA,msa,CA,590375,596554,611142,666732,743607,665340
753887,417,Hermiston, OR,msa,OR,257960,274703,294139,339124,406037,405574
394469,418,Clarksburg, WV,msa,WV,213957,217148,219974,242224,263332,269474
394964,419,Parkersburg, WV,msa,WV,185909,192802,200869,219121,240190,248040
394373,420,Beaver Dam, WI,msa,WI,250851,264684,279620,314312,342766,355494
394980,421,Pine Bluff, AR,msa,AR,131914,136307,144317,155471,172844,179372
394641,422,Grants Pass, OR,msa,OR,390683,406792,422457,487220,555593,532598
394511,424,Cullman, AL,msa,AL,239882,235435,252899,277755,326754,345327
394809,425,Lufkin, TX,msa,TX,196392,205127,222939,242893,287504,290167
395248,426,Zanesville, OH,msa,OH,177688,189275,198103,222196,254174,267399
394907,427,New Castle, PA,msa,PA,175674,184228,192285,213775,235545,249440
394925,428,Oak Harbor, WA,msa,WA,574403,612745,651028,778755,915655,882313
394942,429,Orangeburg, SC,msa,SC,158278,161946,171353,198024,229264,236389
395212,430,Watertown, WI,msa,WI,286992,303658,318197,353424,395692,401918
394847,431,Meadville, PA,msa,PA,162906,160266,167586,185455,209743,212516
394568,432,Elmira, NY,msa,NY,176455,181480,187637,202684,219652,228397
394644,433,Great Falls, MT,msa,MT,292147,303666,316703,343602,414096,433010
394776,434,Laurel, MS,msa,MS,179740,180500,184446,202093,229409,228842
395042,435,Russellville, AR,msa,AR,197991,200904,206305,226021,253143,262122
394704,436,Indiana, PA,msa,PA,188723,190723,195920,213258,224081,231745
394859,437,Midland, MI,msa,MI,213856,220389,241134,266034,298430,306826
394755,438,Kokomo, IN,msa,IN,185308,196263,204822,224497,251136,254189
394395,439,Bloomsburg, PA,msa,PA,251801,259323,268719,295488,316768,323821
394941,440,Opelousas, LA,msa,LA,174390,177804,176774,184882,196978,200815
394675,441,Helena, MT,msa,MT,372165,392660,416870,483898,590868,600924
394744,442,Key West, FL,msa,FL,992309,1043660,1078837,1230057,1714508,1874111
395145,443,Talladega, AL,msa,AL,193013,196225,209574,239749,272470,277414
395133,444,Stillwater, OK,msa,OK,248920,256845,268390,291661,323354,326603
394489,445,Columbus, IN,msa,IN,266888,277809,292921,321471,359955,374765
394345,446,Athens, TX,msa,TX,291588,310961,327792,402978,500322,524114
394452,447,Centralia, WA,msa,WA,336912,367030,404614,486810,578131,552027
394822,448,Manitowoc, WI,msa,WI,214166,227844,245975,272748,309053,324220
394682,449,Hinesville, GA,msa,GA,193128,203640,212063,230152,273310,293375
394541,450,DuBois, PA,msa,PA,140136,136357,142290,159667,170377,172575
395205,451,Warsaw, IN,msa,IN,290829,307361,320214,366039,418189,433510
394986,452,Plattsburgh, NY,msa,NY,213613,220062,229339,248867,278501,286819
395126,453,Statesboro, GA,msa,GA,223247,227845,235689,267046,318451,339613
394445,454,Casper, WY,msa,WY,291253,301897,318563,348156,383473,406182
395231,455,Wilson, NC,msa,NC,186415,192289,199471,227168,266685,294749
753881,456,Glenwood Springs, CO,msa,CO,1512330,1638968,1730048,2089552,2846426,2983433
395085,457,Seneca, SC,msa,SC,318694,349167,365557,442759,529266,560823
394866,458,Minot, ND,msa,ND,338823,322064,313380,330302,341973,343567
394936,459,Olean, NY,msa,NY,158128,160391,165477,186577,222835,232919
394465,460,Chillicothe, OH,msa,OH,176843,187689,202234,228923,264703,273376
395077,461,Searcy, AR,msa,AR,200812,200263,205889,228356,260632,275189
394638,462,Grand Island, NE,msa,NE,236567,247964,260614,287064,331369,347422
394994,463,Port Angeles, WA,msa,WA,429766,466295,493931,565326,674441,666475
394350,464,Auburn, NY,msa,NY,203648,209313,217150,247747,273267,294477
394699,465,Huntsville, TX,msa,TX,286143,299390,313057,349812,427647,441068
394738,466,Keene, NH,msa,NH,297030,309316,323508,377901,433992,458582
394674,467,Heber, UT,msa,UT,1169998,1285143,1361020,1691192,2258653,2217405
395010,468,Quincy, IL,msa,IL,200178,203657,210783,226467,257031,259376
395062,469,Sandusky, OH,msa,OH,220552,230391,241100,272938,307055,324043
394593,470,Findlay, OH,msa,OH,246480,254526,267337,292991,317441,331458
394614,471,Frankfort, KY,msa,KY,204537,209071,220192,252441,288250,300147
394516,472,Danville, IL,msa,IL,117533,118623,120043,127580,141471,147154
394298,473,Aberdeen, WA,msa,WA,266369,292871,318678,381323,455194,436938
394999,474,Portsmouth, OH,msa,OH,149901,158175,160900,175169,194608,204393
395106,475,Somerset, PA,msa,PA,185284,188687,197140,222672,273893,280771
753928,476,Wisconsin Rapids, WI,msa,WI,190998,203113,214237,227519,254797,266518
753893,477,Jefferson, GA,msa,GA,298429,316501,334036,378929,464828,478226
394736,478,Kapaa, HI,msa,HI,928434,997624,1021277,1142147,1380979,1472010
