RegionID,SizeRank,RegionName,STATE,RegionType,StateName,3/31/2018,Monthly Pmt,Total 2018,3/31/2019,Monthly Pmt,Total 2019,3/31/2020,Monthly Pmt,Total 2020,3/31/2021,Monthly Pmt,Total 2021,3/31/2022,Monthly Pmt,Total 2022,3/31/2023,Monthly Pmt,Total 2023,,,
394486,72,Columbia, SC,msa,SC,"251,875.77","1,282.21"," 461,595.91 ","260,425.63","1,234.32"," 444,355.33 ","274,134.32","1,170.60"," 421,415.46 ","303,509.90","1,273.07"," 458,305.80 ","353,135.40","1,969.76"," 709,113.00 ","375,370.32","2,429.66"," 874,676.34 ",,,
753906,73,North Port, FL,msa,FL,"467,165.45","2,378.17"," 856,142.93 ","483,056.28","2,289.51"," 824,222.38 ","492,318.56","2,102.28"," 756,821.15 ","547,620.57","2,296.99"," 826,917.63 ","743,377.77","4,146.50"," 1,492,738.59 ","800,255.78","5,179.81"," 1,864,731.34 ",,,
394457,75,Charleston, SC,msa,SC,"475,428.43","2,420.24"," 871,285.95 ","484,228.84","2,295.06"," 826,223.08 ","494,604.31","2,112.04"," 760,334.94 ","554,939.78","2,327.69"," 837,969.77 ","699,539.95","3,901.97"," 1,404,710.12 ","757,624.81","4,903.87"," 1,765,393.96 ",,,
394648,76,Greensboro, NC,msa,NC,"247,345.06","1,259.15"," 453,292.78 ","259,882.17","1,231.74"," 443,428.04 ","271,654.88","1,160.01"," 417,603.92 ","305,139.51","1,279.91"," 460,766.55 ","348,841.59","1,945.81"," 700,490.82 ","372,527.64","2,411.26"," 868,052.42 ",,,
395134,77,Stockton, CA,msa,CA,"510,228.37","2,597.39"," 935,061.47 ","537,455.33","2,547.34"," 917,041.62 ","546,651.52","2,334.29"," 840,344.99 ","630,310.04","2,643.83"," 951,780.32 ","758,791.57","4,232.47"," 1,523,690.25 ","722,910.01","4,679.17"," 1,684,502.61 ",,,
394440,78,Cape Coral, FL,msa,FL,"397,281.01","2,022.42"," 728,070.39 ","408,264.16","1,935.02"," 696,607.15 ","416,114.13","1,776.88"," 639,675.21 ","460,805.23","1,932.85"," 695,824.79 ","617,491.07","3,444.31"," 1,239,952.00 ","653,660.04","4,230.94"," 1,523,138.46 ",,,
394399,79,Boise City, ID,msa,ID,"419,255.85","2,134.28"," 768,342.21 ","466,421.82","2,210.67"," 795,839.57 ","514,794.67","2,198.26"," 791,372.76 ","630,030.63","2,642.66"," 951,358.41 ","728,239.80","4,062.06"," 1,462,340.81 ","675,711.80","4,373.67"," 1,574,522.80 ",,,
394484,80,Colorado Springs, CO,msa,CO,"446,039.39","2,270.63"," 817,426.61 ","472,939.44","2,241.56"," 806,960.36 ","499,848.01","2,134.43"," 768,395.87 ","561,010.07","2,353.16"," 847,136.03 ","649,727.95","3,624.13"," 1,304,685.21 ","639,172.77","4,137.17"," 1,489,380.67 ",,,
394798,81,Little Rock, AR,msa,AR,"246,953.73","1,257.15"," 452,575.61 ","251,245.59","1,190.81"," 428,691.74 ","257,791.29","1,100.81"," 396,291.99 ","277,277.77","1,163.04"," 418,694.78 ","314,351.63","1,753.43"," 631,233.31 ","328,655.32","2,127.28"," 765,822.49 ",,,
394766,82,Lakeland, FL,msa,FL,"247,191.19","1,258.36"," 453,010.79 ","264,576.19","1,253.99"," 451,437.29 ","278,585.62","1,189.61"," 428,258.26 ","310,513.04","1,302.45"," 468,880.68 ","388,708.27","2,168.18"," 780,545.05 ","407,628.23","2,638.45"," 949,842.73 ",,,
